№	Кластер	Подкластер	Seed query	Тип интента	Близость к FotoLovi	Комментарий
2279	Прямой продукт	Действия гостей	гости могут загрузить фото в общий альбом	product	direct	Поведенческие формулировки гостей
2280	Прямой продукт	Действия гостей	как гостям загрузить фото в общий альбом	problem	direct	Поведенческие формулировки гостей
2281	Свадьба	Действия гостей	гости могут загрузить фото в общий альбом на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2282	Другие мероприятия	Действия гостей	участники могут загрузить фото в общий альбом на мероприятии	event	near	Event поведенческая формулировка
2283	Прямой продукт	Действия гостей	гости могут загрузить фото в онлайн галерею	product	direct	Поведенческие формулировки гостей
2284	Прямой продукт	Действия гостей	как гостям загрузить фото в онлайн галерею	problem	direct	Поведенческие формулировки гостей
2285	Свадьба	Действия гостей	гости могут загрузить фото в онлайн галерею на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2286	Другие мероприятия	Действия гостей	участники могут загрузить фото в онлайн галерею на мероприятии	event	near	Event поведенческая формулировка
2287	Прямой продукт	Действия гостей	гости могут отправить фото по qr коду	product	direct	Поведенческие формулировки гостей
2288	Прямой продукт	Действия гостей	как гостям отправить фото по qr коду	problem	direct	Поведенческие формулировки гостей
2289	Свадьба	Действия гостей	гости могут отправить фото по qr коду на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2290	Другие мероприятия	Действия гостей	участники могут отправить фото по qr коду на мероприятии	event	near	Event поведенческая формулировка
2291	Прямой продукт	Действия гостей	гости могут отправить фото по ссылке	product	direct	Поведенческие формулировки гостей
2292	Прямой продукт	Действия гостей	как гостям отправить фото по ссылке	problem	direct	Поведенческие формулировки гостей
2293	Свадьба	Действия гостей	гости могут отправить фото по ссылке на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2294	Другие мероприятия	Действия гостей	участники могут отправить фото по ссылке на мероприятии	event	near	Event поведенческая формулировка
2295	Прямой продукт	Действия гостей	гости могут отправить фото без приложения	product	direct	Поведенческие формулировки гостей
2296	Прямой продукт	Действия гостей	как гостям отправить фото без приложения	problem	direct	Поведенческие формулировки гостей
2297	Свадьба	Действия гостей	гости могут отправить фото без приложения на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2298	Другие мероприятия	Действия гостей	участники могут отправить фото без приложения на мероприятии	event	near	Event поведенческая формулировка
2299	Прямой продукт	Действия гостей	гости могут отправить фото с телефона	product	direct	Поведенческие формулировки гостей
2300	Прямой продукт	Действия гостей	как гостям отправить фото с телефона	problem	direct	Поведенческие формулировки гостей
2301	Свадьба	Действия гостей	гости могут отправить фото с телефона на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2302	Другие мероприятия	Действия гостей	участники могут отправить фото с телефона на мероприятии	event	near	Event поведенческая формулировка
2303	Прямой продукт	Действия гостей	гости могут отправить фото через браузер	product	direct	Поведенческие формулировки гостей
2304	Прямой продукт	Действия гостей	как гостям отправить фото через браузер	problem	direct	Поведенческие формулировки гостей
2305	Свадьба	Действия гостей	гости могут отправить фото через браузер на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2306	Другие мероприятия	Действия гостей	участники могут отправить фото через браузер на мероприятии	event	near	Event поведенческая формулировка
2307	Прямой продукт	Действия гостей	гости могут отправить фото без регистрации	product	direct	Поведенческие формулировки гостей
2308	Прямой продукт	Действия гостей	как гостям отправить фото без регистрации	problem	direct	Поведенческие формулировки гостей
2309	Свадьба	Действия гостей	гости могут отправить фото без регистрации на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2310	Другие мероприятия	Действия гостей	участники могут отправить фото без регистрации на мероприятии	event	near	Event поведенческая формулировка
2311	Прямой продукт	Действия гостей	гости могут отправить фото в общий альбом	product	direct	Поведенческие формулировки гостей
2312	Прямой продукт	Действия гостей	как гостям отправить фото в общий альбом	problem	direct	Поведенческие формулировки гостей
2313	Свадьба	Действия гостей	гости могут отправить фото в общий альбом на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2314	Другие мероприятия	Действия гостей	участники могут отправить фото в общий альбом на мероприятии	event	near	Event поведенческая формулировка
2315	Прямой продукт	Действия гостей	гости могут отправить фото в онлайн галерею	product	direct	Поведенческие формулировки гостей
2316	Прямой продукт	Действия гостей	как гостям отправить фото в онлайн галерею	problem	direct	Поведенческие формулировки гостей
2317	Свадьба	Действия гостей	гости могут отправить фото в онлайн галерею на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2318	Другие мероприятия	Действия гостей	участники могут отправить фото в онлайн галерею на мероприятии	event	near	Event поведенческая формулировка
2319	Прямой продукт	Действия гостей	гости могут добавить фото по qr коду	product	direct	Поведенческие формулировки гостей
2320	Прямой продукт	Действия гостей	как гостям добавить фото по qr коду	problem	direct	Поведенческие формулировки гостей
2321	Свадьба	Действия гостей	гости могут добавить фото по qr коду на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2322	Другие мероприятия	Действия гостей	участники могут добавить фото по qr коду на мероприятии	event	near	Event поведенческая формулировка
2323	Прямой продукт	Действия гостей	гости могут добавить фото по ссылке	product	direct	Поведенческие формулировки гостей
2324	Прямой продукт	Действия гостей	как гостям добавить фото по ссылке	problem	direct	Поведенческие формулировки гостей
2325	Свадьба	Действия гостей	гости могут добавить фото по ссылке на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2326	Другие мероприятия	Действия гостей	участники могут добавить фото по ссылке на мероприятии	event	near	Event поведенческая формулировка
2327	Прямой продукт	Действия гостей	гости могут добавить фото без приложения	product	direct	Поведенческие формулировки гостей
2328	Прямой продукт	Действия гостей	как гостям добавить фото без приложения	problem	direct	Поведенческие формулировки гостей
2329	Свадьба	Действия гостей	гости могут добавить фото без приложения на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2330	Другие мероприятия	Действия гостей	участники могут добавить фото без приложения на мероприятии	event	near	Event поведенческая формулировка
2331	Прямой продукт	Действия гостей	гости могут добавить фото с телефона	product	direct	Поведенческие формулировки гостей
2332	Прямой продукт	Действия гостей	как гостям добавить фото с телефона	problem	direct	Поведенческие формулировки гостей
2333	Свадьба	Действия гостей	гости могут добавить фото с телефона на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2334	Другие мероприятия	Действия гостей	участники могут добавить фото с телефона на мероприятии	event	near	Event поведенческая формулировка
2335	Прямой продукт	Действия гостей	гости могут добавить фото через браузер	product	direct	Поведенческие формулировки гостей
2336	Прямой продукт	Действия гостей	как гостям добавить фото через браузер	problem	direct	Поведенческие формулировки гостей
2337	Свадьба	Действия гостей	гости могут добавить фото через браузер на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2338	Другие мероприятия	Действия гостей	участники могут добавить фото через браузер на мероприятии	event	near	Event поведенческая формулировка
2339	Прямой продукт	Действия гостей	гости могут добавить фото без регистрации	product	direct	Поведенческие формулировки гостей
2340	Прямой продукт	Действия гостей	как гостям добавить фото без регистрации	problem	direct	Поведенческие формулировки гостей
2341	Свадьба	Действия гостей	гости могут добавить фото без регистрации на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2342	Другие мероприятия	Действия гостей	участники могут добавить фото без регистрации на мероприятии	event	near	Event поведенческая формулировка
2343	Прямой продукт	Действия гостей	гости могут добавить фото в общий альбом	product	direct	Поведенческие формулировки гостей
2344	Прямой продукт	Действия гостей	как гостям добавить фото в общий альбом	problem	direct	Поведенческие формулировки гостей
2345	Свадьба	Действия гостей	гости могут добавить фото в общий альбом на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2346	Другие мероприятия	Действия гостей	участники могут добавить фото в общий альбом на мероприятии	event	near	Event поведенческая формулировка
2347	Прямой продукт	Действия гостей	гости могут добавить фото в онлайн галерею	product	direct	Поведенческие формулировки гостей
2348	Прямой продукт	Действия гостей	как гостям добавить фото в онлайн галерею	problem	direct	Поведенческие формулировки гостей
2349	Свадьба	Действия гостей	гости могут добавить фото в онлайн галерею на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2350	Другие мероприятия	Действия гостей	участники могут добавить фото в онлайн галерею на мероприятии	event	near	Event поведенческая формулировка
2351	Прямой продукт	Действия гостей	гости могут поделиться фото по qr коду	product	direct	Поведенческие формулировки гостей
2352	Прямой продукт	Действия гостей	как гостям поделиться фото по qr коду	problem	direct	Поведенческие формулировки гостей
2353	Свадьба	Действия гостей	гости могут поделиться фото по qr коду на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2354	Другие мероприятия	Действия гостей	участники могут поделиться фото по qr коду на мероприятии	event	near	Event поведенческая формулировка
2355	Прямой продукт	Действия гостей	гости могут поделиться фото по ссылке	product	direct	Поведенческие формулировки гостей
2356	Прямой продукт	Действия гостей	как гостям поделиться фото по ссылке	problem	direct	Поведенческие формулировки гостей
2357	Свадьба	Действия гостей	гости могут поделиться фото по ссылке на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2358	Другие мероприятия	Действия гостей	участники могут поделиться фото по ссылке на мероприятии	event	near	Event поведенческая формулировка
2359	Прямой продукт	Действия гостей	гости могут поделиться фото без приложения	product	direct	Поведенческие формулировки гостей
2360	Прямой продукт	Действия гостей	как гостям поделиться фото без приложения	problem	direct	Поведенческие формулировки гостей
2361	Свадьба	Действия гостей	гости могут поделиться фото без приложения на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2362	Другие мероприятия	Действия гостей	участники могут поделиться фото без приложения на мероприятии	event	near	Event поведенческая формулировка
2363	Прямой продукт	Действия гостей	гости могут поделиться фото с телефона	product	direct	Поведенческие формулировки гостей
2364	Прямой продукт	Действия гостей	как гостям поделиться фото с телефона	problem	direct	Поведенческие формулировки гостей
2365	Свадьба	Действия гостей	гости могут поделиться фото с телефона на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2366	Другие мероприятия	Действия гостей	участники могут поделиться фото с телефона на мероприятии	event	near	Event поведенческая формулировка
2367	Прямой продукт	Действия гостей	гости могут поделиться фото через браузер	product	direct	Поведенческие формулировки гостей
2368	Прямой продукт	Действия гостей	как гостям поделиться фото через браузер	problem	direct	Поведенческие формулировки гостей
2369	Свадьба	Действия гостей	гости могут поделиться фото через браузер на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2370	Другие мероприятия	Действия гостей	участники могут поделиться фото через браузер на мероприятии	event	near	Event поведенческая формулировка
2371	Прямой продукт	Действия гостей	гости могут поделиться фото без регистрации	product	direct	Поведенческие формулировки гостей
2372	Прямой продукт	Действия гостей	как гостям поделиться фото без регистрации	problem	direct	Поведенческие формулировки гостей
2373	Свадьба	Действия гостей	гости могут поделиться фото без регистрации на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2374	Другие мероприятия	Действия гостей	участники могут поделиться фото без регистрации на мероприятии	event	near	Event поведенческая формулировка
2375	Прямой продукт	Действия гостей	гости могут поделиться фото в общий альбом	product	direct	Поведенческие формулировки гостей
2376	Прямой продукт	Действия гостей	как гостям поделиться фото в общий альбом	problem	direct	Поведенческие формулировки гостей
2377	Свадьба	Действия гостей	гости могут поделиться фото в общий альбом на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2378	Другие мероприятия	Действия гостей	участники могут поделиться фото в общий альбом на мероприятии	event	near	Event поведенческая формулировка
2379	Прямой продукт	Действия гостей	гости могут поделиться фото в онлайн галерею	product	direct	Поведенческие формулировки гостей
2380	Прямой продукт	Действия гостей	как гостям поделиться фото в онлайн галерею	problem	direct	Поведенческие формулировки гостей
2381	Свадьба	Действия гостей	гости могут поделиться фото в онлайн галерею на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2382	Другие мероприятия	Действия гостей	участники могут поделиться фото в онлайн галерею на мероприятии	event	near	Event поведенческая формулировка
2383	Прямой продукт	Действия гостей	гости могут скинуть фото по qr коду	product	direct	Поведенческие формулировки гостей
2384	Прямой продукт	Действия гостей	как гостям скинуть фото по qr коду	problem	direct	Поведенческие формулировки гостей
2385	Свадьба	Действия гостей	гости могут скинуть фото по qr коду на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2386	Другие мероприятия	Действия гостей	участники могут скинуть фото по qr коду на мероприятии	event	near	Event поведенческая формулировка
2387	Прямой продукт	Действия гостей	гости могут скинуть фото по ссылке	product	direct	Поведенческие формулировки гостей
2388	Прямой продукт	Действия гостей	как гостям скинуть фото по ссылке	problem	direct	Поведенческие формулировки гостей
2389	Свадьба	Действия гостей	гости могут скинуть фото по ссылке на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2390	Другие мероприятия	Действия гостей	участники могут скинуть фото по ссылке на мероприятии	event	near	Event поведенческая формулировка
2391	Прямой продукт	Действия гостей	гости могут скинуть фото без приложения	product	direct	Поведенческие формулировки гостей
2392	Прямой продукт	Действия гостей	как гостям скинуть фото без приложения	problem	direct	Поведенческие формулировки гостей
2393	Свадьба	Действия гостей	гости могут скинуть фото без приложения на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2394	Другие мероприятия	Действия гостей	участники могут скинуть фото без приложения на мероприятии	event	near	Event поведенческая формулировка
2395	Прямой продукт	Действия гостей	гости могут скинуть фото с телефона	product	direct	Поведенческие формулировки гостей
2396	Прямой продукт	Действия гостей	как гостям скинуть фото с телефона	problem	direct	Поведенческие формулировки гостей
2397	Свадьба	Действия гостей	гости могут скинуть фото с телефона на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2398	Другие мероприятия	Действия гостей	участники могут скинуть фото с телефона на мероприятии	event	near	Event поведенческая формулировка
2399	Прямой продукт	Действия гостей	гости могут скинуть фото через браузер	product	direct	Поведенческие формулировки гостей
2400	Прямой продукт	Действия гостей	как гостям скинуть фото через браузер	problem	direct	Поведенческие формулировки гостей
2401	Свадьба	Действия гостей	гости могут скинуть фото через браузер на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2402	Другие мероприятия	Действия гостей	участники могут скинуть фото через браузер на мероприятии	event	near	Event поведенческая формулировка
2403	Прямой продукт	Действия гостей	гости могут скинуть фото без регистрации	product	direct	Поведенческие формулировки гостей
2404	Прямой продукт	Действия гостей	как гостям скинуть фото без регистрации	problem	direct	Поведенческие формулировки гостей
2405	Свадьба	Действия гостей	гости могут скинуть фото без регистрации на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2406	Другие мероприятия	Действия гостей	участники могут скинуть фото без регистрации на мероприятии	event	near	Event поведенческая формулировка
2407	Прямой продукт	Действия гостей	гости могут скинуть фото в общий альбом	product	direct	Поведенческие формулировки гостей
2408	Прямой продукт	Действия гостей	как гостям скинуть фото в общий альбом	problem	direct	Поведенческие формулировки гостей
2409	Свадьба	Действия гостей	гости могут скинуть фото в общий альбом на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2410	Другие мероприятия	Действия гостей	участники могут скинуть фото в общий альбом на мероприятии	event	near	Event поведенческая формулировка
2411	Прямой продукт	Действия гостей	гости могут скинуть фото в онлайн галерею	product	direct	Поведенческие формулировки гостей
2412	Прямой продукт	Действия гостей	как гостям скинуть фото в онлайн галерею	problem	direct	Поведенческие формулировки гостей
2413	Свадьба	Действия гостей	гости могут скинуть фото в онлайн галерею на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2414	Другие мероприятия	Действия гостей	участники могут скинуть фото в онлайн галерею на мероприятии	event	near	Event поведенческая формулировка
2415	Прямой продукт	Действия гостей	гости могут загрузить фото в альбом по qr коду	product	direct	Поведенческие формулировки гостей
2416	Прямой продукт	Действия гостей	как гостям загрузить фото в альбом по qr коду	problem	direct	Поведенческие формулировки гостей
2417	Свадьба	Действия гостей	гости могут загрузить фото в альбом по qr коду на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2418	Другие мероприятия	Действия гостей	участники могут загрузить фото в альбом по qr коду на мероприятии	event	near	Event поведенческая формулировка
2419	Прямой продукт	Действия гостей	гости могут загрузить фото в альбом по ссылке	product	direct	Поведенческие формулировки гостей
2420	Прямой продукт	Действия гостей	как гостям загрузить фото в альбом по ссылке	problem	direct	Поведенческие формулировки гостей
2421	Свадьба	Действия гостей	гости могут загрузить фото в альбом по ссылке на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2422	Другие мероприятия	Действия гостей	участники могут загрузить фото в альбом по ссылке на мероприятии	event	near	Event поведенческая формулировка
2423	Прямой продукт	Действия гостей	гости могут загрузить фото в альбом без приложения	product	direct	Поведенческие формулировки гостей
2424	Прямой продукт	Действия гостей	как гостям загрузить фото в альбом без приложения	problem	direct	Поведенческие формулировки гостей
2425	Свадьба	Действия гостей	гости могут загрузить фото в альбом без приложения на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2426	Другие мероприятия	Действия гостей	участники могут загрузить фото в альбом без приложения на мероприятии	event	near	Event поведенческая формулировка
2427	Прямой продукт	Действия гостей	гости могут загрузить фото в альбом с телефона	product	direct	Поведенческие формулировки гостей
2428	Прямой продукт	Действия гостей	как гостям загрузить фото в альбом с телефона	problem	direct	Поведенческие формулировки гостей
2429	Свадьба	Действия гостей	гости могут загрузить фото в альбом с телефона на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2430	Другие мероприятия	Действия гостей	участники могут загрузить фото в альбом с телефона на мероприятии	event	near	Event поведенческая формулировка
2431	Прямой продукт	Действия гостей	гости могут загрузить фото в альбом через браузер	product	direct	Поведенческие формулировки гостей
2432	Прямой продукт	Действия гостей	как гостям загрузить фото в альбом через браузер	problem	direct	Поведенческие формулировки гостей
2433	Свадьба	Действия гостей	гости могут загрузить фото в альбом через браузер на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2434	Другие мероприятия	Действия гостей	участники могут загрузить фото в альбом через браузер на мероприятии	event	near	Event поведенческая формулировка
2435	Прямой продукт	Действия гостей	гости могут загрузить фото в альбом без регистрации	product	direct	Поведенческие формулировки гостей
2436	Прямой продукт	Действия гостей	как гостям загрузить фото в альбом без регистрации	problem	direct	Поведенческие формулировки гостей
2437	Свадьба	Действия гостей	гости могут загрузить фото в альбом без регистрации на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2438	Другие мероприятия	Действия гостей	участники могут загрузить фото в альбом без регистрации на мероприятии	event	near	Event поведенческая формулировка
2439	Прямой продукт	Действия гостей	гости могут добавить фото в галерею по qr коду	product	direct	Поведенческие формулировки гостей
2440	Прямой продукт	Действия гостей	как гостям добавить фото в галерею по qr коду	problem	direct	Поведенческие формулировки гостей
2441	Свадьба	Действия гостей	гости могут добавить фото в галерею по qr коду на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2442	Другие мероприятия	Действия гостей	участники могут добавить фото в галерею по qr коду на мероприятии	event	near	Event поведенческая формулировка
2443	Прямой продукт	Действия гостей	гости могут добавить фото в галерею по ссылке	product	direct	Поведенческие формулировки гостей
2444	Прямой продукт	Действия гостей	как гостям добавить фото в галерею по ссылке	problem	direct	Поведенческие формулировки гостей
2445	Свадьба	Действия гостей	гости могут добавить фото в галерею по ссылке на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2446	Другие мероприятия	Действия гостей	участники могут добавить фото в галерею по ссылке на мероприятии	event	near	Event поведенческая формулировка
2447	Прямой продукт	Действия гостей	гости могут добавить фото в галерею без приложения	product	direct	Поведенческие формулировки гостей
2448	Прямой продукт	Действия гостей	как гостям добавить фото в галерею без приложения	problem	direct	Поведенческие формулировки гостей
2449	Свадьба	Действия гостей	гости могут добавить фото в галерею без приложения на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2450	Другие мероприятия	Действия гостей	участники могут добавить фото в галерею без приложения на мероприятии	event	near	Event поведенческая формулировка
2451	Прямой продукт	Действия гостей	гости могут добавить фото в галерею с телефона	product	direct	Поведенческие формулировки гостей
2452	Прямой продукт	Действия гостей	как гостям добавить фото в галерею с телефона	problem	direct	Поведенческие формулировки гостей
2453	Свадьба	Действия гостей	гости могут добавить фото в галерею с телефона на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2454	Другие мероприятия	Действия гостей	участники могут добавить фото в галерею с телефона на мероприятии	event	near	Event поведенческая формулировка
2455	Прямой продукт	Действия гостей	гости могут добавить фото в галерею через браузер	product	direct	Поведенческие формулировки гостей
2456	Прямой продукт	Действия гостей	как гостям добавить фото в галерею через браузер	problem	direct	Поведенческие формулировки гостей
2457	Свадьба	Действия гостей	гости могут добавить фото в галерею через браузер на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2458	Другие мероприятия	Действия гостей	участники могут добавить фото в галерею через браузер на мероприятии	event	near	Event поведенческая формулировка
2459	Прямой продукт	Действия гостей	гости могут добавить фото в галерею без регистрации	product	direct	Поведенческие формулировки гостей
2460	Прямой продукт	Действия гостей	как гостям добавить фото в галерею без регистрации	problem	direct	Поведенческие формулировки гостей
2461	Свадьба	Действия гостей	гости могут добавить фото в галерею без регистрации на свадьбе	wedding	direct	Свадебная поведенческая формулировка
2462	Другие мероприятия	Действия гостей	участники могут добавить фото в галерею без регистрации на мероприятии	event	near	Event поведенческая формулировка
2463	Прямой продукт	Фото на экран	гости видят фото на экране	screen	direct	Live-показ фото
2464	Свадьба	Фото на экран	гости видят фото на экране на свадьбе	wedding	direct	Свадебный live-показ фото
2465	Прямой продукт	Фото на экран	фото гостей появляются на экране	screen	direct	Live-показ фото
2466	Свадьба	Фото на экран	фото гостей появляются на экране на свадьбе	wedding	direct	Свадебный live-показ фото
2467	Прямой продукт	Фото на экран	гости отправляют фото на проектор	screen	direct	Live-показ фото
2468	Свадьба	Фото на экран	гости отправляют фото на проектор на свадьбе	wedding	direct	Свадебный live-показ фото
2469	Прямой продукт	Фото на экран	фото гостей идут на led экран	screen	direct	Live-показ фото
2470	Свадьба	Фото на экран	фото гостей идут на led экран на свадьбе	wedding	direct	Свадебный live-показ фото
2471	Прямой продукт	Фото на экран	фото с телефона появляются на экране	screen	direct	Live-показ фото
2472	Свадьба	Фото на экран	фото с телефона появляются на экране на свадьбе	wedding	direct	Свадебный live-показ фото
2473	Прямой продукт	Фото на экран	как вывести фото гостей на экран	screen	direct	Live-показ фото
2474	Свадьба	Фото на экран	как вывести фото гостей на экран на свадьбе	wedding	direct	Свадебный live-показ фото
2475	Прямой продукт	Фото на экран	как показать фото гостей на проекторе	screen	direct	Live-показ фото
2476	Свадьба	Фото на экран	как показать фото гостей на проекторе на свадьбе	wedding	direct	Свадебный live-показ фото
